Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.007321 -0.000271 -0.000416],0.01865,-,-,-
1,8.739152,0.446,[-0.006839 -0.000209 -0.000277],0.017405,0.0,0.0,[ 1.050425 -0.990841 -0.00871 ]
2,8.992564,0.0,[-0.020803 -0.072852 -0.005505],0.193079,0.19,0.01,[ 0.01431  -0.009043 -0.042185]
3,9.136959,0.023,[-0.251211 -0.001765 -0.011716],0.639226,0.0,0.0,[-0.011638 -0.021943  0.319604]
4,9.759939,0.0,[0.185561 0.24092  0.023324],0.77521,4.48,2.77,[ 0.006409 -0.00155  -0.040846]
5,10.182434,0.0,[ 0.052843 -0.119418 -0.004924],0.332155,6.52,3.06,[-0.000863 -0.001683  0.012766]
6,10.517775,0.0,[ 0.027692 -0.059304 -0.002397],0.166471,5.59,7.89,[-0.001863 -0.002062  0.017695]
7,11.463631,0.004,[-0.163195 -0.009437 -0.008184],0.416013,47.1,61.28,[0.112716 0.015684 0.004928]
8,12.115199,0.0,[0.031892 0.023155 0.002782],0.100424,0.06,0.05,[-0.000101 -0.000358 -0.00076 ]
9,12.375848,0.0,[0.063351 0.008853 0.003445],0.162822,0.02,0.02,[ 0.001003  0.001309 -0.022917]
10,12.515303,0.445,[0.160066 0.136617 0.016135],0.536456,0.28,0.28,[ 1.075886 -0.54038   0.017899]
1->2:,0.253412,0.0,-,-,-,-,[-1.022e-03  6.800e-05 -4.121e-03]
1->3:,0.397808,0.0,-,-,-,-,[ 6.02e-04 -5.90e-05  2.62e-04]
2->3:,0.144395,0.001,-,-,-,-,[0.340185 0.264853 0.031563]
1->4:,1.020788,0.0,-,-,-,-,[ 0.003425  0.003122 -0.017452]
2->4:,0.767375,0.001,-,-,-,-,[0.169996 0.093603 0.013206]
3->4:,0.62298,0.059,-,-,-,-,[-1.55643  -1.200013 -0.143881]
1->5:,1.443282,0.001,-,-,-,-,[-0.008363 -0.005666  0.134241]
2->5:,1.18987,0.001,-,-,-,-,[-0.075572  0.140626  0.006186]
3->5:,1.045474,0.069,-,-,-,-,[ 0.985689 -1.305285 -0.031389]
4->5:,0.422495,0.0,-,-,-,-,[-0.07734   0.067532 -0.000287]
1->6:,1.778623,0.001,-,-,-,-,[-0.007227 -0.006064  0.12913 ]
2->6:,1.525211,0.001,-,-,-,-,[-0.139116  0.127825  0.002797]
3->6:,1.380816,0.067,-,-,-,-,[ 0.933411 -1.048285 -0.018558]
4->6:,0.757836,0.0,-,-,-,-,[-0.06954   0.066864  0.000178]
5->6:,0.335341,0.0,-,-,-,-,[ 0.013691 -0.081266 -0.004299]
1->7:,2.724479,0.001,-,-,-,-,[-0.069553 -0.084529 -0.008299]
2->7:,2.471067,0.0,-,-,-,-,[-0.001532 -0.001461  0.000661]
3->7:,2.326671,0.0,-,-,-,-,[-0.000525 -0.000726  0.00738 ]
4->7:,1.703691,0.0,-,-,-,-,[-2.300e-05 -1.400e-04  1.664e-03]
5->7:,1.281197,0.0,-,-,-,-,[-0.000247  0.00048  -0.001842]
6->7:,0.945856,0.0,-,-,-,-,[ 1.50e-05  2.62e-04 -2.32e-03]
1->8:,3.376047,0.0,-,-,-,-,[ 0.008994 -0.009257  0.01322 ]
2->8:,3.122635,0.033,-,-,-,-,[-0.476413  0.450847  0.004414]
3->8:,2.978239,0.002,-,-,-,-,[-0.134257  0.09517   0.000538]
4->8:,2.355259,0.161,-,-,-,-,[-1.317380e+00  1.028032e+00 -1.750000e-04]
5->8:,1.932765,0.035,-,-,-,-,[0.411149 0.757439 0.064306]
6->8:,1.597424,0.05,-,-,-,-,[0.723642 0.870832 0.085585]
7->8:,0.651568,0.0,-,-,-,-,[-1.500e-05  4.380e-04 -6.226e-03]
1->9:,3.636696,0.0,-,-,-,-,[-0.006984  0.005921  0.007199]
2->9:,3.383284,0.123,-,-,-,-,[ 0.91509  -0.804556 -0.00514 ]
3->9:,3.238888,0.0,-,-,-,-,[ 0.011533 -0.055892 -0.001178]
4->9:,2.615909,0.169,-,-,-,-,[-1.324976  0.939581 -0.005721]
5->9:,2.193414,0.124,-,-,-,-,[0.873468 1.239024 0.114532]
6->9:,1.858073,0.038,-,-,-,-,[0.547198 0.732053 0.069118]
7->9:,0.912217,0.0,-,-,-,-,[-0.001644 -0.00158   0.030626]
8->9:,0.260649,0.0,-,-,-,-,[ 0.084341 -0.015749  0.003077]
1->10:,3.776152,0.0,-,-,-,-,[ 0.005863  0.000393 -0.000175]
2->10:,3.522739,0.0,-,-,-,-,[-0.002606 -0.002866  0.041452]
3->10:,3.378344,0.0,-,-,-,-,[-0.00076  -0.000958  0.009925]
4->10:,2.755364,0.0,-,-,-,-,[-0.001154 -0.001876  0.027178]
5->10:,2.33287,0.0,-,-,-,-,[ 0.001475  0.001963 -0.034996]
6->10:,1.997528,0.0,-,-,-,-,[ 0.001444  0.001893 -0.034338]
7->10:,1.051673,0.104,-,-,-,-,[-1.701028 -1.058583 -0.142162]
8->10:,0.400105,0.0,-,-,-,-,[ 3.550e-04 -5.700e-05 -1.435e-03]
9->10:,0.139456,0.0,-,-,-,-,[ 7.00e-06  3.58e-04 -2.74e-03]
