Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[ 0.002634 -0.002693  0.001063],0.009949,-,-,-
1,8.733969,0.445,[ 0.001567 -0.002905  0.001274],0.008991,0.0,0.0,[-1.041447  0.997722  0.009829]
2,9.027334,0.0,[ 0.032925 -0.001756  0.003988],0.084418,0.15,0.0,[ 0.007889 -0.004451 -0.019679]
3,9.203464,0.026,[0.147238 0.081809 0.010473],0.428957,0.01,0.01,[-0.016148 -0.020256  0.338576]
4,9.847938,0.0,[-0.125749 -0.159481 -0.017186],0.518059,5.05,3.06,[-0.003381  0.001088  0.019284]
5,10.236783,0.0,[-0.056954  0.031384 -0.000629],0.165293,7.63,3.96,[ 0.000564  0.000338 -0.001704]
6,10.56606,0.0,[-0.040485  0.004192 -0.000501],0.103462,5.62,8.02,[ 0.003401 -0.001183 -0.00853 ]
7,11.566713,0.0,[0.09855  0.064319 0.008435],0.299885,32.26,60.11,[-0.024791  0.017149  0.000535]
8,12.144751,0.0,[0.002909 0.035177 0.002973],0.090035,0.0,0.0,[-7.20e-05 -4.70e-05 -8.69e-04]
9,12.403973,0.0,[0.001441 0.032191 0.001524],0.081994,0.0,0.0,[-0.000178 -0.000165  0.003951]
10,12.646352,0.431,[-0.076077 -0.130472 -0.011894],0.385074,0.06,0.11,[ 0.818389 -0.84909  -0.011121]
1->2:,0.293365,0.0,-,-,-,-,[ 2.00e-06  3.20e-05 -3.66e-04]
1->3:,0.469495,0.0,-,-,-,-,[ 0.001879 -0.001732  0.002424]
2->3:,0.17613,0.001,-,-,-,-,[-0.258719 -0.279639 -0.028886]
1->4:,1.113969,0.0,-,-,-,-,[0.000589 0.000334 0.003507]
2->4:,0.820604,0.0,-,-,-,-,[0.059558 0.064278 0.005799]
3->4:,0.644474,0.063,-,-,-,-,[-1.401486 -1.417793 -0.152009]
1->5:,1.502814,0.001,-,-,-,-,[ 0.006757  0.009533 -0.150856]
2->5:,1.209449,0.0,-,-,-,-,[-0.044487  0.056252  0.00195 ]
3->5:,1.033319,0.074,-,-,-,-,[ 1.189698 -1.221389 -0.01553 ]
4->5:,0.388845,0.0,-,-,-,-,[ 0.090692 -0.075447  0.000292]
1->6:,1.832092,0.001,-,-,-,-,[ 0.005531  0.008076 -0.127597]
2->6:,1.538726,0.0,-,-,-,-,[-0.063441  0.054028  0.001057]
3->6:,1.362596,0.064,-,-,-,-,[ 1.004027 -0.953898 -0.008523]
4->6:,0.718122,0.0,-,-,-,-,[ 0.075785 -0.073708 -0.000332]
5->6:,0.329277,0.0,-,-,-,-,[-0.025461  0.015771 -0.001898]
1->7:,2.832744,0.001,-,-,-,-,[0.080492 0.079884 0.008607]
2->7:,2.539379,0.0,-,-,-,-,[-0.001353  0.000135 -0.003205]
3->7:,2.363249,0.0,-,-,-,-,[ 0.000134  0.000291 -0.004351]
4->7:,1.718775,0.0,-,-,-,-,[ 0.000428 -0.000517  0.000388]
5->7:,1.32993,0.0,-,-,-,-,[ 4.300e-05 -4.350e-04  1.661e-03]
6->7:,1.000652,0.0,-,-,-,-,[-0.00032  -0.000433  0.001241]
1->8:,3.410783,0.0,-,-,-,-,[-0.006403  0.003358  0.000154]
2->8:,3.117418,0.038,-,-,-,-,[-0.497486  0.506405  0.006288]
3->8:,2.941288,0.001,-,-,-,-,[-0.099552  0.075007  0.00037 ]
4->8:,2.296813,0.153,-,-,-,-,[ 1.202314 -1.12946  -0.009341]
5->8:,1.907969,0.034,-,-,-,-,[-0.560072 -0.6479   -0.065589]
6->8:,1.578691,0.046,-,-,-,-,[-0.802741 -0.735769 -0.082504]
7->8:,0.578039,0.0,-,-,-,-,[-0.000354 -0.000297  0.006559]
1->9:,3.670004,0.0,-,-,-,-,[-0.00191   0.004204  0.002183]
2->9:,3.376639,0.115,-,-,-,-,[-0.831985  0.831828  0.009631]
3->9:,3.200509,0.0,-,-,-,-,[0.034725 0.007948 0.001166]
4->9:,2.556035,0.18,-,-,-,-,[-1.252771  1.141566  0.007573]
5->9:,2.16719,0.128,-,-,-,-,[1.088691 1.102893 0.118164]
6->9:,1.837913,0.036,-,-,-,-,[0.627864 0.639422 0.068365]
7->9:,0.837261,0.0,-,-,-,-,[-0.001351 -0.001924  0.030733]
8->9:,0.259222,0.0,-,-,-,-,[-0.007058 -0.020231  0.000779]
1->10:,3.912384,0.0,-,-,-,-,[-0.001047 -0.003594 -0.000105]
2->10:,3.619018,0.0,-,-,-,-,[-1.750e-04 -3.500e-05 -1.392e-03]
3->10:,3.442888,0.0,-,-,-,-,[ 0.000206  0.000178 -0.000531]
4->10:,2.798414,0.0,-,-,-,-,[ 0.000224  0.000175 -0.002879]
5->10:,2.409569,0.0,-,-,-,-,[ 0.001947  0.002362 -0.040231]
6->10:,2.080292,0.0,-,-,-,-,[ 0.00173   0.002134 -0.035983]
7->10:,1.07964,0.108,-,-,-,-,[-1.400473 -1.452057 -0.153964]
8->10:,0.501601,0.0,-,-,-,-,[ 5.30e-05 -1.93e-04  6.58e-04]
9->10:,0.242379,0.0,-,-,-,-,[-0.00012  -0.000366  0.001509]
