Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000814  0.000507  0.001799],0.005182,-,-,-
1,8.736972,0.446,[-0.000712  0.000298  0.002212],0.005955,0.0,0.0,[-1.045365  0.994193  0.008993]
2,9.054644,0.0,[-0.004656  0.008776  0.004426],0.027644,0.16,0.0,[-0.017509  0.01471   0.002144]
3,9.171177,0.025,[ 0.000412  0.012382 -0.001683],0.03178,0.0,0.0,[-0.012716 -0.022171  0.333979]
4,9.833834,0.0,[-0.012616 -0.006174 -0.00363 ],0.036873,4.99,3.06,[-0.006637  0.005925  0.001147]
5,10.212501,0.0,[ 0.008551 -0.010972  0.000711],0.035405,5.95,2.67,[-6.420e-04 -1.055e-03  9.800e-05]
6,10.536108,0.0,[ 0.004174 -0.007898  0.001135],0.02289,6.84,9.01,[ 0.005481 -0.002172  0.001945]
7,11.557507,0.0,[0.002862 0.009217 0.00051 ],0.024565,31.94,59.3,[-2.057e-03 -4.700e-05  1.877e-03]
8,12.165518,0.0,[ 0.007413 -0.00236   0.000687],0.019851,0.0,0.0,[-0.000544 -0.00061   0.000203]
9,12.417251,0.0,[ 0.005388 -0.00183   0.000116],0.014467,0.0,0.0,[0.000147 0.000106 0.000246]
10,12.646433,0.422,[-0.014892 -0.000361 -0.0015  ],0.038054,0.0,0.0,[ 0.851803 -0.79811  -0.009028]
1->2:,0.317672,0.0,-,-,-,-,[0.00073  0.00054  0.000285]
1->3:,0.434205,0.0,-,-,-,-,[ 0.003587 -0.002209 -0.00074 ]
2->3:,0.116533,0.0,-,-,-,-,[0.273636 0.287797 0.02948 ]
1->4:,1.096863,0.0,-,-,-,-,[-0.004113 -0.004273  0.001879]
2->4:,0.779191,0.0,-,-,-,-,[-0.009076 -0.006406  0.000783]
3->4:,0.662657,0.066,-,-,-,-,[-1.41062  -1.436546 -0.14948 ]
1->5:,1.47553,0.001,-,-,-,-,[-0.009178 -0.00471   0.132503]
2->5:,1.157857,0.0,-,-,-,-,[-0.006156  0.004161  0.001629]
3->5:,1.041324,0.06,-,-,-,-,[-1.085963  1.085202  0.014725]
4->5:,0.378667,0.0,-,-,-,-,[-0.00375   0.007223 -0.000861]
1->6:,1.799137,0.001,-,-,-,-,[ 0.009639  0.005547 -0.143391]
2->6:,1.481464,0.0,-,-,-,-,[ 0.006703 -0.006937 -0.002595]
3->6:,1.364931,0.08,-,-,-,-,[ 1.115736 -1.07143  -0.012604]
4->6:,0.702274,0.0,-,-,-,-,[ 0.006945 -0.005699  0.001096]
5->6:,0.323607,0.0,-,-,-,-,[-0.005137  0.006247  0.002877]
1->7:,2.820536,0.001,-,-,-,-,[0.078978 0.082416 0.008499]
2->7:,2.502863,0.0,-,-,-,-,[ 0.003288  0.000942 -0.000912]
3->7:,2.38633,0.0,-,-,-,-,[-8.70e-05 -7.60e-05 -9.45e-04]
4->7:,1.723673,0.0,-,-,-,-,[ 0.000768 -0.000807 -0.000269]
5->7:,1.345006,0.0,-,-,-,-,[-4.21e-04  6.77e-04 -7.20e-05]
6->7:,1.021399,0.0,-,-,-,-,[-3.16e-04 -7.63e-04  4.10e-05]
1->8:,3.428547,0.0,-,-,-,-,[ 1.4561e-02 -8.7710e-03 -6.6000e-05]
2->8:,3.110874,0.026,-,-,-,-,[-0.416221  0.403847  0.004605]
3->8:,2.994341,0.0,-,-,-,-,[ 0.00408  -0.01033  -0.002447]
4->8:,2.331684,0.186,-,-,-,-,[-1.321073  1.230894  0.013438]
5->8:,1.953017,0.036,-,-,-,-,[-0.575648 -0.653165 -0.064963]
6->8:,1.62941,0.065,-,-,-,-,[0.889157 0.911109 0.094547]
7->8:,0.608011,0.0,-,-,-,-,[-0.000213  0.000588 -0.00335 ]
1->9:,3.680279,0.0,-,-,-,-,[ 0.007404 -0.010574 -0.000407]
2->9:,3.362607,0.129,-,-,-,-,[-0.901624  0.866686  0.010126]
3->9:,3.246074,0.0,-,-,-,-,[0.006389 0.003036 0.00287 ]
4->9:,2.583416,0.145,-,-,-,-,[ 1.11616  -1.021693 -0.010503]
5->9:,2.20475,0.103,-,-,-,-,[0.94708  1.00295  0.102642]
6->9:,1.881143,0.041,-,-,-,-,[-0.646089 -0.685935 -0.070113]
7->9:,0.859744,0.0,-,-,-,-,[ 0.001731  0.001434 -0.031156]
8->9:,0.251733,0.0,-,-,-,-,[-0.00166  -0.001863  0.003736]
1->10:,3.909462,0.0,-,-,-,-,[-0.000481 -0.000137  0.000205]
2->10:,3.591789,0.0,-,-,-,-,[-0.001253 -0.001361  0.00336 ]
3->10:,3.475256,0.0,-,-,-,-,[4.44e-04 4.14e-04 3.50e-05]
4->10:,2.812599,0.0,-,-,-,-,[-0.000342 -0.000275  0.000883]
5->10:,2.433932,0.0,-,-,-,-,[-0.001579 -0.002291  0.036403]
6->10:,2.110325,0.0,-,-,-,-,[ 0.001833  0.002478 -0.040388]
7->10:,1.088926,0.111,-,-,-,-,[-1.426196 -1.445755 -0.150708]
8->10:,0.480915,0.0,-,-,-,-,[-3.46e-04  3.05e-04 -6.30e-05]
9->10:,0.229182,0.0,-,-,-,-,[-1.90e-05  5.56e-04 -7.80e-05]
