Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000697  0.000572  0.00045 ],0.002563,-,-,-
1,8.737132,0.446,[-0.000615  0.000381  0.00055 ],0.002311,0.0,0.0,[ 1.045599 -0.994258 -0.00927 ]
2,9.054454,0.0,[-0.004108  0.00948   0.001397],0.0265,0.16,0.0,[ 0.002922 -0.00348   0.002493]
3,9.170759,0.025,[0.002529 0.012659 0.000264],0.032818,0.0,0.0,[-0.015352 -0.020284  0.333865]
4,9.833357,0.0,[-0.014321 -0.008726 -0.001847],0.042882,4.99,3.06,[-0.001119  0.001277 -0.001428]
5,10.212137,0.0,[ 7.8550e-03 -1.0117e-02 -1.3000e-05],0.032555,5.95,2.66,[-0.000134 -0.000175 -0.0003  ]
6,10.535814,0.0,[ 3.714e-03 -7.379e-03  7.700e-05],0.020998,6.84,9.0,[-0.00058   0.00133  -0.001582]
7,11.556892,0.0,[0.004419 0.009714 0.000751],0.027192,31.95,59.3,[-0.002732  0.000112 -0.000504]
8,12.165406,0.0,[ 0.007174 -0.002162  0.000335],0.019064,0.0,0.0,[-0.000124 -0.000122  0.000225]
9,12.41715,0.0,[ 0.005085 -0.001681  0.00014 ],0.013617,0.0,0.0,[ 1.30e-05 -0.00e+00  3.95e-04]
10,12.645754,0.422,[-0.016156 -0.002138 -0.001055],0.04151,0.0,0.0,[-0.853553  0.796263  0.007121]
1->2:,0.317322,0.0,-,-,-,-,[-8.80e-05 -1.19e-04 -2.91e-04]
1->3:,0.433627,0.0,-,-,-,-,[-0.000698  0.00072   0.000745]
2->3:,0.116305,0.0,-,-,-,-,[0.273872 0.287749 0.030067]
1->4:,1.096225,0.0,-,-,-,-,[-0.000905 -0.000943  0.002312]
2->4:,0.778903,0.0,-,-,-,-,[0.010578 0.007715 0.00058 ]
3->4:,0.662598,0.066,-,-,-,-,[1.411587 1.435217 0.152183]
1->5:,1.475005,0.001,-,-,-,-,[-0.006869 -0.007269  0.132348]
2->5:,1.157683,0.0,-,-,-,-,[ 0.00698  -0.005482  0.000348]
3->5:,1.041378,0.06,-,-,-,-,[ 1.084786 -1.0858   -0.01329 ]
4->5:,0.37878,0.0,-,-,-,-,[-0.004751  0.007655  0.000467]
1->6:,1.798682,0.001,-,-,-,-,[ 0.007391  0.007944 -0.143369]
2->6:,1.48136,0.0,-,-,-,-,[-0.008102  0.008457 -0.000365]
3->6:,1.365055,0.08,-,-,-,-,[-1.115244  1.072218  0.011053]
4->6:,0.702457,0.0,-,-,-,-,[ 0.007954 -0.006391 -0.000201]
5->6:,0.323677,0.0,-,-,-,-,[-0.004729  0.005756  0.000809]
1->7:,2.81976,0.001,-,-,-,-,[-0.078947 -0.082442 -0.008638]
2->7:,2.502438,0.0,-,-,-,-,[-1.900e-05 -6.320e-04 -1.137e-03]
3->7:,2.386133,0.0,-,-,-,-,[ 1.40e-05  3.60e-05 -8.57e-04]
4->7:,1.723535,0.0,-,-,-,-,[-0.000231  0.000167  0.00026 ]
5->7:,1.344755,0.0,-,-,-,-,[-1.41e-04  4.80e-05  1.11e-04]
6->7:,1.021078,0.0,-,-,-,-,[ 0.000175  0.000101 -0.000112]
1->8:,3.428274,0.0,-,-,-,-,[ 1.654e-03 -2.868e-03  3.600e-05]
2->8:,3.110952,0.026,-,-,-,-,[-0.416071  0.403432  0.004264]
3->8:,2.994647,0.0,-,-,-,-,[ 5.4670e-03 -1.1548e-02 -5.1000e-05]
4->8:,2.332049,0.186,-,-,-,-,[ 1.322   -1.23061 -0.01084]
5->8:,1.953269,0.036,-,-,-,-,[0.574906 0.653939 0.066115]
6->8:,1.629592,0.065,-,-,-,-,[-0.888633 -0.912145 -0.096319]
7->8:,0.608514,0.0,-,-,-,-,[ 8.900e-05  2.760e-04 -3.345e-03]
1->9:,3.680017,0.0,-,-,-,-,[ 0.002234 -0.001342  0.000203]
2->9:,3.362696,0.129,-,-,-,-,[-0.902159  0.866704  0.008872]
3->9:,3.246391,0.0,-,-,-,-,[6.693e-03 2.517e-03 1.900e-05]
4->9:,2.583793,0.145,-,-,-,-,[-1.116239  1.0205    0.008093]
5->9:,2.205013,0.103,-,-,-,-,[-0.945711 -1.003493 -0.104458]
6->9:,1.881335,0.041,-,-,-,-,[0.645371 0.686261 0.071369]
7->9:,0.860258,0.0,-,-,-,-,[ 0.001538  0.001777 -0.031146]
8->9:,0.251744,0.0,-,-,-,-,[-0.001103 -0.001932  0.000805]
1->10:,3.908622,0.0,-,-,-,-,[-4.73e-04 -1.71e-04  4.80e-05]
2->10:,3.591301,0.0,-,-,-,-,[ 0.000388  0.000446 -0.003728]
3->10:,3.474995,0.0,-,-,-,-,[6.9e-05 8.4e-05 5.0e-05]
4->10:,2.812398,0.0,-,-,-,-,[-0.000114 -0.000107  0.001109]
5->10:,2.433618,0.0,-,-,-,-,[-0.001702 -0.002188  0.036385]
6->10:,2.10994,0.0,-,-,-,-,[ 0.001908  0.002419 -0.040385]
7->10:,1.088862,0.111,-,-,-,-,[1.428341 1.443314 0.153454]
8->10:,0.480349,0.0,-,-,-,-,[-5.8e-05  5.7e-05  5.9e-05]
9->10:,0.228605,0.0,-,-,-,-,[-1.32e-04 -2.10e-05  1.26e-04]
