Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[0.000275 0.001527 0.000874],0.004525,-,-,-
1,8.797103,0.449,[1.400e-05 1.219e-03 1.007e-03],0.004017,0.0,0.0,[ 1.047278 -0.992341 -0.009836]
2,9.047354,0.0,[0.025086 0.008687 0.003467],0.068051,0.16,0.0,[ 0.003085 -0.005545  0.017736]
3,9.199433,0.025,[0.042969 0.089459 0.006308],0.25276,0.0,0.0,[-0.016348 -0.019021  0.331215]
4,9.836253,0.0,[-0.103563 -0.090805 -0.011435],0.351292,4.84,2.93,[-0.000513  0.002244 -0.015504]
5,10.257744,0.0,[ 0.018539 -0.01221   0.000346],0.05643,6.88,3.39,[ 0.000184  0.000634 -0.003617]
6,10.593341,0.0,[ 0.004136 -0.008614  0.000474],0.024318,5.73,8.06,[ 0.001176 -0.002037  0.003097]
7,11.513194,0.0,[0.03294  0.062514 0.005217],0.180092,32.46,60.15,[ 0.006115 -0.032133 -0.001208]
8,12.200988,0.0,[ 0.001315 -0.001354  0.000205],0.004827,0.0,0.0,[-4.30e-05  2.90e-05 -1.44e-03]
9,12.453019,0.0,[ 0.001204 -0.004976 -0.000246],0.013028,0.0,0.0,[ 0.000276  0.000327 -0.00578 ]
10,12.582771,0.427,[-0.066147 -0.073312 -0.0078  ],0.25176,0.03,0.04,[ 0.800311 -0.862059 -0.013332]
1->2:,0.250251,0.0,-,-,-,-,[1.4e-05 2.4e-04 4.9e-04]
1->3:,0.40233,0.0,-,-,-,-,[-1.370e-03  1.147e-03  1.300e-05]
2->3:,0.152079,0.001,-,-,-,-,[0.263851 0.296611 0.029983]
1->4:,1.039151,0.0,-,-,-,-,[0.000717 0.00063  0.001247]
2->4:,0.7889,0.0,-,-,-,-,[0.050738 0.062729 0.005479]
3->4:,0.63682,0.063,-,-,-,-,[1.377604 1.452519 0.151635]
1->5:,1.460641,0.001,-,-,-,-,[ 0.006174  0.009199 -0.14372 ]
2->5:,1.21039,0.0,-,-,-,-,[-0.048876  0.042464 -0.000323]
3->5:,1.05831,0.072,-,-,-,-,[-1.188297  1.162554  0.012981]
4->5:,0.42149,0.0,-,-,-,-,[ 0.034137 -0.045088 -0.001317]
1->6:,1.796238,0.001,-,-,-,-,[-0.005875 -0.008432  0.134477]
2->6:,1.545987,0.0,-,-,-,-,[ 5.4315e-02 -5.4340e-02 -7.5000e-05]
3->6:,1.393908,0.068,-,-,-,-,[ 1.034375 -0.957812 -0.008069]
4->6:,0.757088,0.0,-,-,-,-,[-0.03804   0.040334  0.000746]
5->6:,0.335597,0.0,-,-,-,-,[-0.015275  0.003111  0.000597]
1->7:,2.716091,0.001,-,-,-,-,[0.078979 0.078864 0.008427]
2->7:,2.46584,0.0,-,-,-,-,[-6.000e-05  1.037e-03 -3.580e-04]
3->7:,2.313761,0.0,-,-,-,-,[-0.000241 -0.000339  0.004682]
4->7:,1.676941,0.0,-,-,-,-,[ 0.000331 -0.000327  0.000301]
5->7:,1.255451,0.0,-,-,-,-,[-2.340e-04 -4.800e-05  1.107e-03]
6->7:,0.919853,0.0,-,-,-,-,[ 0.000287  0.000226 -0.001019]
1->8:,3.403885,0.0,-,-,-,-,[-0.001822  0.003677  0.003545]
2->8:,3.153634,0.026,-,-,-,-,[ 0.411434 -0.413058 -0.005161]
3->8:,3.001555,0.0,-,-,-,-,[-0.056567  0.057539  0.00038 ]
4->8:,2.364735,0.187,-,-,-,-,[-1.30651   1.233757  0.011479]
5->8:,1.943245,0.045,-,-,-,-,[0.655276 0.716242 0.073624]
6->8:,1.607647,0.057,-,-,-,-,[-0.871842 -0.816569 -0.089838]
7->8:,0.687794,0.0,-,-,-,-,[ 0.000205  0.000121 -0.003726]
1->9:,3.655917,0.0,-,-,-,-,[ 0.003232 -0.001961  0.002291]
2->9:,3.405666,0.13,-,-,-,-,[-0.883724  0.878334  0.010453]
3->9:,3.253586,0.0,-,-,-,-,[ 0.011578 -0.008899 -0.000428]
4->9:,2.616766,0.147,-,-,-,-,[-1.113167  1.028247  0.008385]
5->9:,2.195276,0.115,-,-,-,-,[1.033142 1.026424 0.109956]
6->9:,1.859678,0.031,-,-,-,-,[-0.574193 -0.587022 -0.062103]
7->9:,0.939825,0.0,-,-,-,-,[-0.001397 -0.001918  0.031189]
8->9:,0.252031,0.0,-,-,-,-,[ 0.007898 -0.013116 -0.002066]
1->10:,3.785668,0.0,-,-,-,-,[ 9.19e-04  2.33e-04 -4.90e-05]
2->10:,3.535417,0.0,-,-,-,-,[ 0.000334  0.000346 -0.002757]
3->10:,3.383338,0.0,-,-,-,-,[-0.000131 -0.000154  0.000969]
4->10:,2.746518,0.0,-,-,-,-,[-0.000359 -0.000316  0.00552 ]
5->10:,2.325028,0.0,-,-,-,-,[-0.001856 -0.002296  0.039235]
6->10:,1.98943,0.0,-,-,-,-,[ 0.001696  0.002126 -0.036287]
7->10:,1.069577,0.108,-,-,-,-,[1.362612 1.497878 0.153593]
8->10:,0.381783,0.0,-,-,-,-,[-5.8e-05  8.7e-05 -2.1e-04]
9->10:,0.129752,0.0,-,-,-,-,[ 0.00021   0.000134 -0.001089]
