Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.001517  0.001337  0.000585],0.00535,-,-,-
1,8.736358,0.446,[-0.001411  0.000866  0.000703],0.004572,0.0,0.0,[-1.046421  0.993187  0.009137]
2,9.048761,0.0,[-0.004953  0.021309  0.002357],0.055929,0.16,0.0,[ 0.004588 -0.005765  0.008089]
3,9.179072,0.025,[0.014863 0.043421 0.002511],0.116825,0.0,0.0,[ 0.01537   0.020444 -0.33512 ]
4,9.836346,0.0,[-0.049058 -0.034718 -0.005227],0.153336,5.0,3.06,[-0.001655  0.002214 -0.005421]
5,10.217995,0.0,[ 0.018362 -0.025446 -0.000415],0.079766,6.34,2.95,[2.22e-04 3.31e-04 4.70e-05]
6,10.541898,0.0,[ 0.006856 -0.018304 -0.000285],0.049686,6.55,8.78,[-0.000575  0.001925 -0.003943]
7,11.560055,0.0,[0.017036 0.032374 0.002685],0.093235,32.1,59.53,[-0.006778  0.004705 -0.000643]
8,12.160397,0.0,[ 0.017442 -0.002577  0.000893],0.044871,0.0,0.0,[-1.60e-04 -1.49e-04  9.00e-06]
9,12.41325,0.0,[ 0.012993 -0.00225   0.000417],0.033533,0.0,0.0,[-1.300e-05 -4.400e-05  1.321e-03]
10,12.645998,0.425,[-0.047293 -0.017118 -0.003461],0.128141,0.01,0.01,[-0.866281  0.787962  0.006187]
1->2:,0.312403,0.0,-,-,-,-,[8.70e-05 1.61e-04 2.94e-04]
1->3:,0.442714,0.0,-,-,-,-,[-0.000919  0.0009    0.001567]
2->3:,0.130311,0.0,-,-,-,-,[-0.271981 -0.283593 -0.029745]
1->4:,1.099988,0.0,-,-,-,-,[ 0.001153  0.00121  -0.001874]
2->4:,0.787585,0.0,-,-,-,-,[0.030557 0.026161 0.002526]
3->4:,0.657274,0.065,-,-,-,-,[-1.406418 -1.436032 -0.152246]
1->5:,1.481637,0.001,-,-,-,-,[-0.007327 -0.007348  0.13697 ]
2->5:,1.169234,0.0,-,-,-,-,[-0.022514  0.018163 -0.000551]
3->5:,1.038923,0.063,-,-,-,-,[ 1.123203 -1.108469 -0.012993]
4->5:,0.381649,0.0,-,-,-,-,[ 0.018783 -0.026116 -0.001044]
1->6:,1.80554,0.001,-,-,-,-,[-0.007426 -0.007535  0.139753]
2->6:,1.493137,0.0,-,-,-,-,[-0.025432  0.026487 -0.000388]
3->6:,1.362826,0.076,-,-,-,-,[ 1.088852 -1.047111 -0.010975]
4->6:,0.705552,0.0,-,-,-,-,[ 0.025865 -0.022852 -0.000453]
5->6:,0.323903,0.0,-,-,-,-,[ 0.010862 -0.01374  -0.001191]
1->7:,2.823698,0.001,-,-,-,-,[0.078297 0.082713 0.00863 ]
2->7:,2.511295,0.0,-,-,-,-,[-0.000103 -0.000887 -0.002287]
3->7:,2.380984,0.0,-,-,-,-,[ 3.8e-05  3.0e-06 -3.7e-05]
4->7:,1.72371,0.0,-,-,-,-,[-0.000308  0.000198  0.000484]
5->7:,1.342061,0.0,-,-,-,-,[ 2.35e-04 -7.50e-05 -4.43e-04]
6->7:,1.018158,0.0,-,-,-,-,[ 0.000242  0.000137 -0.000415]
1->8:,3.42404,0.0,-,-,-,-,[-2.974e-03  4.447e-03 -8.600e-05]
2->8:,3.111637,0.029,-,-,-,-,[-0.444181  0.424604  0.004241]
3->8:,2.981325,0.0,-,-,-,-,[-0.023115  0.035158  0.000417]
4->8:,2.324051,0.178,-,-,-,-,[ 1.293839 -1.204883 -0.010871]
5->8:,1.942403,0.036,-,-,-,-,[-0.57802  -0.646442 -0.065934]
6->8:,1.618499,0.06,-,-,-,-,[-0.846017 -0.887325 -0.092986]
7->8:,0.600342,0.0,-,-,-,-,[ 9.900e-05  3.490e-04 -4.189e-03]
1->9:,3.676892,0.0,-,-,-,-,[-0.003388  0.002192 -0.000668]
2->9:,3.364489,0.125,-,-,-,-,[-0.894203  0.850064  0.008362]
3->9:,3.234178,0.0,-,-,-,-,[-0.014374 -0.006162 -0.000319]
4->9:,2.576904,0.154,-,-,-,-,[-1.148724  1.05662   0.008936]
5->9:,2.195255,0.11,-,-,-,-,[0.97009  1.041117 0.10804 ]
6->9:,1.871352,0.04,-,-,-,-,[0.639454 0.684279 0.071098]
7->9:,0.853194,0.0,-,-,-,-,[ 0.001576  0.001743 -0.031092]
8->9:,0.252852,0.0,-,-,-,-,[-0.005343 -0.003902  0.00076 ]
1->10:,3.90964,0.0,-,-,-,-,[ 1.374e-03  5.340e-04 -1.200e-05]
2->10:,3.597237,0.0,-,-,-,-,[ 0.00048   0.00056  -0.004188]
3->10:,3.466926,0.0,-,-,-,-,[-1.10e-04 -1.33e-04 -4.30e-05]
4->10:,2.809652,0.0,-,-,-,-,[-0.000169 -0.000187  0.002045]
5->10:,2.428003,0.0,-,-,-,-,[ 0.001734  0.002253 -0.037335]
6->10:,2.1041,0.0,-,-,-,-,[ 0.001854  0.002364 -0.039383]
7->10:,1.085942,0.11,-,-,-,-,[1.429974 1.437886 0.153462]
8->10:,0.4856,0.0,-,-,-,-,[-1.07e-04  7.70e-05  1.83e-04]
9->10:,0.232748,0.0,-,-,-,-,[-2.04e-04 -2.80e-05  4.63e-04]
