Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.001188  0.000201  0.000244],0.003125,-,-,-
1,8.707211,0.444,[-9.36e-04  5.90e-05  3.21e-04],0.002519,0.0,0.0,[-1.044691  0.995166  0.008974]
2,9.056362,0.0,[-0.024602  0.00414  -0.000264],0.063415,0.17,0.0,[ 0.003129 -0.002371 -0.008545]
3,9.15618,0.025,[-0.009697 -0.0167   -0.001839],0.049306,0.0,0.0,[ 0.0149    0.020812 -0.334636]
4,9.832018,0.0,[0.028479 0.028311 0.002624],0.102286,5.06,3.13,[-0.001413  0.000821  0.005306]
5,10.188091,0.0,[ 0.003536 -0.008313 -0.000154],0.022965,5.47,2.31,[-6.700e-05 -4.000e-06 -2.108e-03]
6,10.509454,0.0,[ 0.001682 -0.006708 -0.000141],0.017582,7.41,9.47,[-0.000304  0.000952 -0.000471]
7,11.577255,0.0,[-0.009682 -0.015758 -0.001423],0.047148,32.32,58.9,[-0.001021 -0.014976 -0.001314]
8,12.147575,0.0,[ 0.010378 -0.00223   0.000438],0.027004,0.0,0.0,[-0.000198 -0.000198 -0.000432]
9,12.399125,0.0,[0.007271 0.000169 0.000359],0.018509,0.0,0.0,[-0.000112 -0.000141  0.003585]
10,12.675744,0.421,[0.009251 0.029867 0.00213 ],0.079658,0.01,0.0,[ 0.88432  -0.758141 -0.003508]
1->2:,0.34915,0.0,-,-,-,-,[0.000156 0.000253 0.000638]
1->3:,0.448969,0.0,-,-,-,-,[-0.000375  0.000537  0.001076]
2->3:,0.099819,0.0,-,-,-,-,[-0.279051 -0.285402 -0.030211]
1->4:,1.124807,0.0,-,-,-,-,[ 0.001627  0.001633 -0.002823]
2->4:,0.775656,0.0,-,-,-,-,[-0.024691 -0.033625 -0.003408]
3->4:,0.675838,0.068,-,-,-,-,[-1.426444 -1.423504 -0.15218 ]
1->5:,1.480879,0.001,-,-,-,-,[ 0.007058  0.006432 -0.126434]
2->5:,1.131729,0.0,-,-,-,-,[-0.020515  0.019982  0.000495]
3->5:,1.03191,0.054,-,-,-,-,[-1.030723  1.040866  0.013172]
4->5:,0.356073,0.0,-,-,-,-,[ 6.024e-03 -7.559e-03  5.900e-05]
1->6:,1.802242,0.001,-,-,-,-,[-0.008118 -0.007657  0.147474]
2->6:,1.453092,0.0,-,-,-,-,[ 0.028678 -0.028662 -0.000795]
3->6:,1.353273,0.086,-,-,-,-,[ 1.149823 -1.126464 -0.012655]
4->6:,0.677436,0.0,-,-,-,-,[-0.00684   0.011976  0.000173]
5->6:,0.321363,0.0,-,-,-,-,[0.000897 0.007421 0.000934]
1->7:,2.870044,0.001,-,-,-,-,[0.078859 0.084226 0.008739]
2->7:,2.520894,0.0,-,-,-,-,[-6.200e-05 -4.500e-04 -1.992e-03]
3->7:,2.421075,0.0,-,-,-,-,[ 0.0001    0.000113 -0.00102 ]
4->7:,1.745237,0.0,-,-,-,-,[-1.80e-04  9.00e-05  5.83e-04]
5->7:,1.389165,0.0,-,-,-,-,[-1.05e-04  8.50e-05 -3.08e-04]
6->7:,1.067802,0.0,-,-,-,-,[1.14e-04 2.80e-05 4.17e-04]
1->8:,3.440364,0.0,-,-,-,-,[-0.001636  0.002564 -0.001898]
2->8:,3.091213,0.025,-,-,-,-,[-0.417001  0.397298  0.003794]
3->8:,2.991395,0.0,-,-,-,-,[ 0.023046 -0.013803 -0.000113]
4->8:,2.315557,0.186,-,-,-,-,[ 1.329573 -1.228586 -0.010504]
5->8:,1.959484,0.032,-,-,-,-,[0.537378 0.617417 0.062169]
6->8:,1.638121,0.069,-,-,-,-,[-0.893424 -0.959819 -0.099384]
7->8:,0.57032,0.0,-,-,-,-,[ 1.60e-05  3.07e-04 -3.16e-03]
1->9:,3.691913,0.0,-,-,-,-,[-0.00186   0.001148  0.000861]
2->9:,3.342763,0.129,-,-,-,-,[-0.911549  0.859661  0.008011]
3->9:,3.242944,0.0,-,-,-,-,[ 0.006574 -0.017419 -0.000273]
4->9:,2.567107,0.143,-,-,-,-,[-1.116566  1.01631   0.007987]
5->9:,2.211034,0.097,-,-,-,-,[-0.899501 -0.987583 -0.101327]
6->9:,1.889671,0.047,-,-,-,-,[0.676847 0.735862 0.075812]
7->9:,0.821869,0.0,-,-,-,-,[ 0.001596  0.001746 -0.031084]
8->9:,0.25155,0.0,-,-,-,-,[ 0.002206 -0.009633  0.000154]
1->10:,3.968533,0.0,-,-,-,-,[-2.03e-04 -1.79e-04  4.50e-05]
2->10:,3.619382,0.0,-,-,-,-,[-0.000796 -0.000869  0.007845]
3->10:,3.519564,0.0,-,-,-,-,[7.40e-05 8.60e-05 1.64e-04]
4->10:,2.843726,0.0,-,-,-,-,[ 0.000308  0.000398 -0.004858]
5->10:,2.487653,0.0,-,-,-,-,[ 0.001595  0.002095 -0.034861]
6->10:,2.16629,0.0,-,-,-,-,[-0.001964 -0.002516  0.042272]
7->10:,1.098489,0.112,-,-,-,-,[-1.465534 -1.407916 -0.153102]
8->10:,0.528169,0.0,-,-,-,-,[ 6.20e-05 -4.80e-05 -2.09e-04]
9->10:,0.276619,0.0,-,-,-,-,[ 8.80e-05 -2.80e-05  3.39e-04]
