Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-4.0e-06  2.0e-06  1.6e-05],4.2e-05,-,-,-
1,8.775086,0.448,[-4.0e-06  0.0e+00  1.9e-05],5e-05,0.0,0.0,[ 1.046907 -0.994289 -0.009708]
2,8.95001,0.0,[-5.0e-05  5.2e-05  3.7e-05],0.000206,0.15,0.01,[-6.86e-04  6.34e-04  1.00e-05]
3,9.166903,0.024,[ 4.1e-05  5.6e-05 -1.6e-05],0.000181,0.0,0.0,[ 0.015364  0.019642 -0.322884]
4,9.742098,0.0,[-5.6e-05 -5.0e-05 -2.8e-05],0.000203,4.4,2.59,[ 1.72e-04 -1.60e-04 -7.00e-06]
5,10.186928,0.0,[ 3.6e-05 -5.6e-05 -3.0e-06],0.000171,7.94,4.28,[-3.9e-05 -2.2e-05  1.0e-06]
6,10.570655,0.0,[ 6.0e-06 -2.6e-05  2.2e-05],8.7e-05,3.76,6.29,[-6.8e-05 -3.0e-06 -1.0e-05]
7,11.408404,0.0,[3.5e-05 3.2e-05 2.0e-06],0.00012,33.15,63.67,[ 3.0e-05  2.2e-05 -4.4e-05]
8,12.093645,0.0,[ 4.2e-05 -1.9e-05  1.7e-05],0.000125,0.0,0.0,[1.9e-05 2.0e-05 6.0e-06]
9,12.374046,0.0,[ 2.4e-05  6.0e-06 -1.0e-05],6.9e-05,0.0,0.0,[-1.7e-05 -1.7e-05 -3.6e-05]
10,12.435816,0.445,[-7.9e-05  1.0e-06 -9.0e-06],0.000203,0.0,0.0,[ 0.875648 -0.832543 -0.008279]
1->2:,0.174924,0.0,-,-,-,-,[-3.6e-05 -3.8e-05  2.0e-06]
1->3:,0.391817,0.0,-,-,-,-,[-1.1e-05 -7.2e-05 -9.0e-06]
2->3:,0.216893,0.001,-,-,-,-,[-0.27195  -0.286123 -0.030346]
1->4:,0.967011,0.0,-,-,-,-,[-2.17e-04 -2.29e-04 -6.10e-05]
2->4:,0.792088,0.0,-,-,-,-,[ 3.2e-05  3.0e-06 -1.2e-05]
3->4:,0.575195,0.055,-,-,-,-,[-1.360668 -1.43211  -0.151863]
1->5:,1.411842,0.001,-,-,-,-,[ 0.007449  0.008896 -0.150628]
2->5:,1.236918,0.0,-,-,-,-,[-2.1e-05  8.0e-06  8.9e-05]
3->5:,1.020025,0.087,-,-,-,-,[ 1.350832 -1.282094 -0.01259 ]
4->5:,0.444831,0.0,-,-,-,-,[ 3.9e-05 -4.5e-05  2.9e-05]
1->6:,1.795568,0.001,-,-,-,-,[ 0.005313  0.006391 -0.107875]
2->6:,1.620645,0.0,-,-,-,-,[-1.8e-05  9.0e-06  7.7e-05]
3->6:,1.403752,0.048,-,-,-,-,[ 0.853406 -0.810312 -0.007976]
