Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.000156 -0.000117 -0.000329],0.000971,-,-,-
1,8.731813,0.446,[-5.70e-05 -1.35e-04 -3.94e-04],0.001068,0.0,0.0,[-1.047608  0.994097  0.009801]
2,8.9524,0.0,[-0.009157  0.005409 -0.000825],0.027113,0.15,0.01,[ 0.00029  -0.000808  0.001986]
3,9.141644,0.024,[-0.000903 -0.019179 -0.000778],0.048841,0.0,0.0,[ 0.015469  0.019437 -0.323511]
4,9.738247,0.0,[0.016807 0.011032 0.001901],0.051328,4.49,2.67,[-3.500e-05  3.170e-04 -2.212e-03]
5,10.158461,0.0,[-4.747e-03  2.772e-03 -7.200e-05],0.013975,7.45,3.85,[-3.200e-05  2.750e-04 -1.801e-03]
6,10.52085,0.0,[-0.000864  0.001439 -0.000358],0.004364,4.32,6.82,[-0.000609  0.000723 -0.000704]
7,11.433774,0.0,[-7.6000e-05 -1.2461e-02 -7.3000e-04],0.031728,33.01,62.96,[0.003887 0.009761 0.000726]
8,12.068303,0.0,[ 0.003385 -0.002913 -0.000326],0.011381,0.0,0.0,[-4.0e-06 -1.0e-06 -1.1e-05]
9,12.34682,0.0,[-0.001157  0.002778  0.000327],0.007694,0.0,0.0,[-3.40e-05 -4.00e-05  6.99e-04]
10,12.476749,0.441,[0.005967 0.012663 0.001153],0.035701,0.01,0.0,[-0.864246  0.834608  0.008946]
1->2:,0.220587,0.0,-,-,-,-,[-5.0e-06  9.0e-06  8.2e-05]
1->3:,0.409831,0.0,-,-,-,-,[ 0.000576 -0.000553  0.00033 ]
2->3:,0.189244,0.001,-,-,-,-,[0.273118 0.289507 0.030449]
1->4:,1.006434,0.0,-,-,-,-,[ 4.30e-05  4.00e-05 -1.65e-04]
2->4:,0.785847,0.0,-,-,-,-,[-0.002706 -0.008947 -0.000398]
3->4:,0.596603,0.058,-,-,-,-,[1.360169 1.438233 0.151461]
1->5:,1.426648,0.001,-,-,-,-,[ 0.006874  0.008727 -0.144579]
2->5:,1.206061,0.0,-,-,-,-,[ 0.006636 -0.0042    0.000132]
3->5:,1.016817,0.08,-,-,-,-,[-1.304579  1.234988  0.012017]
4->5:,0.420214,0.0,-,-,-,-,[-0.003697  0.007979  0.000333]
1->6:,1.789037,0.001,-,-,-,-,[ 0.00538   0.006824 -0.113117]
2->6:,1.56845,0.0,-,-,-,-,[ 5.279e-03 -6.738e-03 -8.800e-05]
3->6:,1.379206,0.054,-,-,-,-,[-0.920053  0.869678  0.008396]
4->6:,0.782603,0.0,-,-,-,-,[-0.003562  0.006142  0.000217]
5->6:,0.362389,0.0,-,-,-,-,[-0.002992  0.000834  0.000339]
1->7:,2.701961,0.001,-,-,-,-,[-0.073598 -0.077017 -0.008147]
2->7:,2.481374,0.0,-,-,-,-,[-0.000137  0.000329 -0.000801]
3->7:,2.29213,0.0,-,-,-,-,[ 1.9e-05  2.6e-05 -4.1e-04]
4->7:,1.695527,0.0,-,-,-,-,[ 0.000126 -0.000151  0.000314]
5->7:,1.275313,0.0,-,-,-,-,[-5.90e-05 -3.50e-05  1.51e-04]
6->7:,0.912924,0.0,-,-,-,-,[-8.20e-05 -8.10e-05  1.22e-04]
1->8:,3.33649,0.0,-,-,-,-,[-2.10e-05  7.98e-04  5.25e-04]
2->8:,3.115903,0.047,-,-,-,-,[-0.570882  0.543895  0.005468]
3->8:,2.92666,0.0,-,-,-,-,[-8.131e-03  6.712e-03 -2.000e-05]
4->8:,2.330056,0.133,-,-,-,-,[ 1.105613 -1.051671 -0.010484]
5->8:,1.909842,0.03,-,-,-,-,[-0.548308 -0.574896 -0.060763]
6->8:,1.547453,0.036,-,-,-,-,[-0.671612 -0.699307 -0.074134]
7->8:,0.634529,0.0,-,-,-,-,[ 0.000437  0.000549 -0.009159]
1->9:,3.615007,0.0,-,-,-,-,[-0.000667 -0.000137 -0.000448]
2->9:,3.39442,0.11,-,-,-,-,[-0.832054  0.792739  0.007969]
3->9:,3.205176,0.0,-,-,-,-,[1.966e-03 9.400e-05 1.600e-04]
4->9:,2.608573,0.202,-,-,-,-,[-1.289665  1.226413  0.012208]
5->9:,2.188359,0.151,-,-,-,-,[1.157089 1.209047 0.127977]
6->9:,1.82597,0.032,-,-,-,-,[0.586584 0.613744 0.064927]
7->9:,0.913046,0.0,-,-,-,-,[ 0.001439  0.001821 -0.030252]
8->9:,0.278517,0.0,-,-,-,-,[ 0.00448  -0.005585 -0.000739]
1->10:,3.744936,0.0,-,-,-,-,[-1.75e-04  1.05e-04  4.30e-05]
2->10:,3.524349,0.0,-,-,-,-,[ 4.90e-05  5.60e-05 -8.39e-04]
3->10:,3.335105,0.0,-,-,-,-,[ 2.30e-05  3.80e-05 -3.61e-04]
4->10:,2.738502,0.0,-,-,-,-,[-3.90e-05 -4.80e-05  7.73e-04]
5->10:,2.318288,0.0,-,-,-,-,[-0.001931 -0.002432  0.040415]
6->10:,1.955899,0.0,-,-,-,-,[-0.001489 -0.001875  0.031165]
7->10:,1.042975,0.103,-,-,-,-,[-1.373724 -1.461812 -0.153525]
8->10:,0.408445,0.0,-,-,-,-,[-2.1e-05 -4.0e-06 -1.5e-05]
9->10:,0.129929,0.0,-,-,-,-,[-5.40e-05 -4.80e-05  1.51e-04]
