Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-4.0e-06  2.0e-06  1.6e-05],4.2e-05,-,-,-
1,8.731815,0.446,[-4.0e-06  0.0e+00  1.9e-05],5e-05,0.0,0.0,[ 1.047181 -0.994548 -0.009709]
2,8.952471,0.0,[-4.9e-05  5.3e-05  3.7e-05],0.000206,0.15,0.01,[-5.46e-04  5.02e-04  1.00e-05]
3,9.141665,0.024,[ 3.7e-05  5.4e-05 -1.6e-05],0.00017,0.0,0.0,[ 0.015403  0.019672 -0.323519]
4,9.738249,0.0,[-5.4e-05 -4.7e-05 -2.8e-05],0.000196,4.49,2.67,[ 1.65e-04 -1.54e-04 -7.00e-06]
5,10.158466,0.0,[ 3.6e-05 -5.5e-05 -1.0e-06],0.000166,7.45,3.85,[-3.4e-05 -2.1e-05  1.0e-06]
6,10.520854,0.0,[ 7.0e-06 -2.8e-05  1.9e-05],8.8e-05,4.32,6.82,[6.9e-05 3.0e-06 1.0e-05]
7,11.433863,0.0,[3.1e-05 3.4e-05 2.0e-06],0.000118,32.99,62.96,[-2.9e-05 -2.1e-05  4.4e-05]
8,12.068282,0.0,[ 4.2e-05 -1.9e-05  1.7e-05],0.000125,0.0,0.0,[2.1e-05 2.2e-05 5.0e-06]
9,12.346831,0.0,[ 2.5e-05  6.0e-06 -9.0e-06],6.9e-05,0.0,0.0,[-1.0e-06 -2.0e-06  3.4e-05]
10,12.476805,0.441,[-8.e-05  3.e-06 -9.e-06],0.000205,0.0,0.0,[ 0.870684 -0.827872 -0.008235]
1->2:,0.220655,0.0,-,-,-,-,[-3.4e-05 -3.6e-05  3.0e-06]
1->3:,0.40985,0.0,-,-,-,-,[ 1.6e-05 -4.2e-05 -6.0e-06]
2->3:,0.189195,0.001,-,-,-,-,[-0.274163 -0.288452 -0.030593]
1->4:,1.006434,0.0,-,-,-,-,[-2.07e-04 -2.17e-04 -6.10e-05]
2->4:,0.785778,0.0,-,-,-,-,[ 3.5e-05  6.0e-06 -1.2e-05]
3->4:,0.596584,0.058,-,-,-,-,[-1.363523 -1.43513  -0.152183]
1->5:,1.426651,0.001,-,-,-,-,[ 0.00714   0.008548 -0.144579]
2->5:,1.205996,0.0,-,-,-,-,[-2.2e-05  1.1e-05  6.6e-05]
3->5:,1.016801,0.08,-,-,-,-,[ 1.303038 -1.236689 -0.012143]
4->5:,0.420217,0.0,-,-,-,-,[ 3.6e-05 -4.3e-05  2.8e-05]
1->6:,1.789039,0.001,-,-,-,-,[-0.005567 -0.006705  0.113117]
2->6:,1.568383,0.0,-,-,-,-,[ 2.1e-05 -1.2e-05 -6.5e-05]
3->6:,1.379189,0.054,-,-,-,-,[-0.918161  0.871777  0.008581]
4->6:,0.782605,0.0,-,-,-,-,[-3.7e-05  2.4e-05 -1.9e-05]
5->6:,0.362388,0.0,-,-,-,-,[-1.3e-05  2.2e-05  2.3e-05]
1->7:,2.702048,0.001,-,-,-,-,[-0.073403 -0.077196 -0.008189]
2->7:,2.481392,0.0,-,-,-,-,[ 6.8e-05  4.8e-05 -1.0e-06]
3->7:,2.292198,0.0,-,-,-,-,[6.e-06 6.e-06 5.e-06]
4->7:,1.695614,0.0,-,-,-,-,[-6.e-06  8.e-06  2.e-06]
5->7:,1.275397,0.0,-,-,-,-,[-1.2e-05  1.5e-05 -0.0e+00]
6->7:,0.913009,0.0,-,-,-,-,[-1.e-06 -7.e-06 -0.e+00]
1->8:,3.336467,0.0,-,-,-,-,[ 4.29e-04 -3.65e-04 -3.00e-06]
2->8:,3.115811,0.047,-,-,-,-,[ 0.571888 -0.543101 -0.005337]
3->8:,2.926617,0.0,-,-,-,-,[ 2.2e-05 -4.5e-05 -3.7e-05]
4->8:,2.330033,0.133,-,-,-,-,[-1.106131  1.050902  0.010404]
5->8:,1.909816,0.03,-,-,-,-,[0.547552 0.575291 0.061051]
6->8:,1.547428,0.036,-,-,-,-,[-0.667954 -0.702621 -0.074525]
7->8:,0.634419,0.0,-,-,-,-,[-0.000421 -0.000572  0.009163]
1->9:,3.615016,0.0,-,-,-,-,[ 2.53e-04 -2.82e-04 -5.00e-06]
2->9:,3.394361,0.11,-,-,-,-,[ 0.833255 -0.791404 -0.007798]
3->9:,3.205166,0.0,-,-,-,-,[1.5e-05 3.7e-05 6.4e-05]
4->9:,2.608582,0.202,-,-,-,-,[ 1.290236 -1.226089 -0.012166]
5->9:,2.188365,0.151,-,-,-,-,[-1.153411 -1.212598 -0.128648]
6->9:,1.825977,0.032,-,-,-,-,[0.585138 0.615254 0.06527 ]
7->9:,0.912968,0.0,-,-,-,-,[-0.001485 -0.001797  0.030253]
8->9:,0.278549,0.0,-,-,-,-,[ 3.0e-06 -2.7e-05  3.0e-05]
1->10:,3.74499,0.0,-,-,-,-,[ 2.e-06  1.e-06 -2.e-06]
2->10:,3.524334,0.0,-,-,-,-,[-4.80e-05 -5.00e-05 -1.05e-04]
3->10:,3.33514,0.0,-,-,-,-,[-1.1e-05 -1.1e-05 -0.0e+00]
4->10:,2.738556,0.0,-,-,-,-,[1.1e-05 1.1e-05 5.3e-05]
5->10:,2.318339,0.0,-,-,-,-,[-0.001935 -0.002447  0.040415]
6->10:,1.955951,0.0,-,-,-,-,[ 0.001495  0.001885 -0.031169]
7->10:,1.042942,0.103,-,-,-,-,[-1.381339 -1.454615 -0.154215]
8->10:,0.408523,0.0,-,-,-,-,[ 8.e-06 -9.e-06  0.e+00]
9->10:,0.129974,0.0,-,-,-,-,[ 4.e-06 -8.e-06  0.e+00]
