Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[-0.002996 -0.00381   0.062927],0.160419,-,-,-
1,8.703465,0.439,[-0.003518 -0.004645  0.076323],0.194559,0.0,0.01,[-1.040683  0.988293  0.009545]
2,8.910812,0.0,[-0.00754  -0.00911   0.143243],0.365326,0.13,0.01,[-0.030549 -0.035319 -0.004432]
3,9.138243,0.023,[-0.00285  -0.002155 -0.084608],0.215244,0.09,0.11,[ 0.015253  0.019894 -0.32255 ]
4,9.721154,0.0,[ 0.012243  0.013661 -0.086439],0.2246,4.46,2.63,[0.004199 0.005435 0.00154 ]
5,10.151769,0.0,[0.000513 0.000468 0.006377],0.016306,7.19,3.67,[ 0.025377 -0.024242 -0.000242]
6,10.515991,0.009,[-0.002663 -0.003597  0.076836],0.195629,4.59,7.05,[-0.136078  0.129457  0.001262]
7,11.405864,0.0,[-0.004196 -0.004469 -0.005199],0.02043,33.07,63.14,[ 0.000991 -0.001133 -0.000159]
8,12.039617,0.0,[-0.004671 -0.005902  0.078915],0.201492,0.0,0.06,[-1.44e-04  3.20e-05 -1.60e-05]
9,12.33904,0.0,[ 0.001503  0.00226  -0.059472],0.151319,0.2,0.28,[-2.04e-04  1.62e-04 -5.60e-05]
10,12.440609,0.439,[ 0.00646   0.007178 -0.020058],0.056584,0.11,0.2,[ 0.869732 -0.827118 -0.008316]
1->2:,0.207347,0.0,-,-,-,-,[-0.000211  0.000347  0.000124]
1->3:,0.434778,0.0,-,-,-,-,[-0.114739  0.108947  0.001138]
2->3:,0.227431,0.001,-,-,-,-,[-0.262384 -0.276423 -0.029949]
1->4:,1.017689,0.0,-,-,-,-,[1.006e-03 4.400e-05 7.600e-05]
2->4:,0.810342,0.0,-,-,-,-,[ 0.000157  0.000592 -0.052188]
3->4:,0.582911,0.056,-,-,-,-,[-1.360868 -1.43235  -0.151743]
1->5:,1.448304,0.001,-,-,-,-,[ 0.007794  0.008773 -0.151781]
2->5:,1.240957,0.0,-,-,-,-,[-0.002145  0.001983  0.000212]
3->5:,1.013526,0.077,-,-,-,-,[-1.280001  1.21472   0.011969]
4->5:,0.430615,0.0,-,-,-,-,[ 5.156e-03 -4.938e-03  4.000e-06]
1->6:,1.812526,0.001,-,-,-,-,[-0.006171 -0.007007  0.11938 ]
2->6:,1.605179,0.0,-,-,-,-,[ 0.002566 -0.002457 -0.000231]
3->6:,1.377748,0.057,-,-,-,-,[ 0.942273 -0.894667 -0.008847]
4->6:,0.794837,0.0,-,-,-,-,[-4.249e-03  4.071e-03 -2.700e-05]
5->6:,0.364222,0.0,-,-,-,-,[-0.004561 -0.005673  0.087558]
1->7:,2.702398,0.001,-,-,-,-,[0.071956 0.07554  0.008061]
2->7:,2.495051,0.0,-,-,-,-,[ 0.046841 -0.044819 -0.000485]
3->7:,2.26762,0.0,-,-,-,-,[-1.13e-04  1.31e-04  1.00e-06]
4->7:,1.68471,0.0,-,-,-,-,[-0.027271  0.025901  0.000264]
5->7:,1.254094,0.0,-,-,-,-,[-0.006805 -0.007058 -0.000835]
6->7:,0.889873,0.0,-,-,-,-,[0.014244 0.014962 0.001659]
1->8:,3.336152,0.001,-,-,-,-,[0.07513  0.081627 0.008624]
2->8:,3.128805,0.059,-,-,-,-,[-0.636944  0.604673  0.005937]
3->8:,2.901374,0.0,-,-,-,-,[ 0.004698 -0.004336 -0.000131]
4->8:,2.318463,0.109,-,-,-,-,[ 1.005996 -0.955706 -0.009532]
5->8:,1.887848,0.02,-,-,-,-,[0.449378 0.472004 0.050117]
6->8:,1.523626,0.032,-,-,-,-,[-0.63161  -0.664398 -0.070464]
7->8:,0.633753,0.0,-,-,-,-,[ 0.000526  0.000728 -0.010455]
1->9:,3.635575,0.001,-,-,-,-,[-0.08676  -0.089856 -0.009505]
2->9:,3.428228,0.097,-,-,-,-,[-0.780161  0.741265  0.00734 ]
3->9:,3.200797,0.0,-,-,-,-,[-0.002232  0.001903  0.0002  ]
4->9:,2.617886,0.227,-,-,-,-,[-1.364896  1.296996  0.012987]
5->9:,2.187271,0.155,-,-,-,-,[-1.170117 -1.229999 -0.130464]
6->9:,1.823049,0.04,-,-,-,-,[0.651329 0.684836 0.072594]
7->9:,0.933177,0.0,-,-,-,-,[ 0.001835  0.001988 -0.029773]
8->9:,0.299423,0.0,-,-,-,-,[-0.004564 -0.006153  0.114636]
1->10:,3.737143,0.0,-,-,-,-,[-0.000274 -0.000374  0.009066]
2->10:,3.529797,0.0,-,-,-,-,[-0.000445  0.00017  -0.000157]
3->10:,3.302366,0.0,-,-,-,-,[-1.045e-03  1.043e-03  2.200e-05]
4->10:,2.719455,0.0,-,-,-,-,[-7.80e-05  1.31e-04  6.20e-05]
5->10:,2.288839,0.0,-,-,-,-,[ 0.001705  0.002216 -0.039556]
6->10:,1.924618,0.0,-,-,-,-,[-0.00145  -0.001867  0.03335 ]
7->10:,1.034745,0.102,-,-,-,-,[-1.377057 -1.450318 -0.153743]
8->10:,0.400992,0.0,-,-,-,-,[0.003487 0.003602 0.000465]
9->10:,0.101569,0.0,-,-,-,-,[0.007828 0.008233 0.00095 ]
