Excited state,Excitation energy,Oscillator strength,dipole moment,Total dipole,TPA cross section(sos),TPA cross section(dI),Transition dipole moment
0,0.0,-,[ 0.003013  0.003789 -0.062896],0.160337,-,-,-
1,8.703497,0.439,[ 0.003624  0.004536 -0.076287],0.194462,0.0,0.01,[-1.04073   0.98825   0.009738]
2,8.910846,0.0,[ 0.007407  0.009241 -0.143168],0.365139,0.13,0.01,[-0.029402 -0.036375 -0.00445 ]
3,9.138248,0.023,[0.002854 0.002342 0.084577],0.215178,0.09,0.11,[ 0.015633  0.019535 -0.322553]
4,9.721164,0.0,[-0.012326 -0.013784  0.086383],0.224538,4.46,2.63,[-0.003876 -0.005737 -0.001554]
5,10.151776,0.0,[-0.000451 -0.000568 -0.00637 ],0.016296,7.19,3.67,[-0.025321  0.02429   0.000262]
6,10.516002,0.009,[ 0.002694  0.003525 -0.076808],0.195551,4.59,7.05,[ 0.135939 -0.129466 -0.001308]
7,11.40588,0.0,[0.004269 0.004528 0.005204],0.020618,33.07,63.14,[ 0.001096 -0.001042 -0.00024 ]
8,12.039641,0.0,[ 0.004816  0.005799 -0.078862],0.201361,0.0,0.06,[-8.1e-05  1.0e-04 -1.2e-05]
9,12.339045,0.0,[-0.001494 -0.002201  0.059434],0.151217,0.2,0.28,[-1.80e-04  1.93e-04 -6.10e-05]
10,12.440628,0.439,[-0.006652 -0.007142  0.020041],0.056658,0.11,0.2,[ 0.869742 -0.827115 -0.008157]
1->2:,0.207349,0.0,-,-,-,-,[ 0.000309 -0.00025  -0.000197]
1->3:,0.434751,0.0,-,-,-,-,[ 0.114718 -0.108859 -0.001051]
2->3:,0.227402,0.001,-,-,-,-,[0.262273 0.276551 0.029959]
1->4:,1.017667,0.0,-,-,-,-,[ 4.25e-04 -5.83e-04 -7.00e-06]
2->4:,0.810318,0.0,-,-,-,-,[ 8.5000e-05  6.0300e-04 -5.2166e-02]
3->4:,0.582916,0.056,-,-,-,-,[-1.3609   -1.43232  -0.151741]
1->5:,1.448278,0.001,-,-,-,-,[ 0.007249  0.009293 -0.151771]
2->5:,1.240929,0.0,-,-,-,-,[-0.002167  0.002006  0.000359]
3->5:,1.013528,0.077,-,-,-,-,[-1.280048  1.21476   0.01187 ]
4->5:,0.430611,0.0,-,-,-,-,[-5.235e-03  5.015e-03 -5.800e-05]
1->6:,1.812504,0.001,-,-,-,-,[-0.005778 -0.007384  0.119366]
2->6:,1.605155,0.0,-,-,-,-,[ 0.00262  -0.002456 -0.000371]
3->6:,1.377754,0.057,-,-,-,-,[ 0.9422   -0.894645 -0.008767]
4->6:,0.794837,0.0,-,-,-,-,[ 4.324e-03 -4.122e-03  6.800e-05]
5->6:,0.364226,0.0,-,-,-,-,[ 0.004541  0.005711 -0.087509]
1->7:,2.702382,0.001,-,-,-,-,[-0.072001 -0.075499 -0.008061]
2->7:,2.495033,0.0,-,-,-,-,[-0.046702  0.044918  0.000464]
3->7:,2.267632,0.0,-,-,-,-,[ 1.27e-04 -1.19e-04  9.00e-06]
4->7:,1.684715,0.0,-,-,-,-,[-0.027262  0.025885  0.000253]
5->7:,1.254104,0.0,-,-,-,-,[-0.006831 -0.007028 -0.000835]
6->7:,0.889878,0.0,-,-,-,-,[0.014242 0.01495  0.001659]
1->8:,3.336144,0.001,-,-,-,-,[-0.074206 -0.082439 -0.008632]
2->8:,3.128795,0.059,-,-,-,-,[ 0.63698  -0.604533 -0.005917]
3->8:,2.901393,0.0,-,-,-,-,[-0.004688  0.004474  0.000202]
4->8:,2.318477,0.109,-,-,-,-,[ 1.006091 -0.955765 -0.009378]
5->8:,1.887866,0.02,-,-,-,-,[0.449478 0.472091 0.050127]
6->8:,1.523639,0.032,-,-,-,-,[-0.631601 -0.664445 -0.070466]
7->8:,0.633761,0.0,-,-,-,-,[-0.000569 -0.000688  0.010455]
1->9:,3.635548,0.001,-,-,-,-,[0.087246 0.089305 0.009495]
2->9:,3.428199,0.097,-,-,-,-,[ 0.780115 -0.741404 -0.007304]
3->9:,3.200797,0.0,-,-,-,-,[ 0.002131 -0.002073 -0.000342]
4->9:,2.617881,0.227,-,-,-,-,[-1.364852  1.296935  0.012736]
5->9:,2.18727,0.155,-,-,-,-,[-1.170125 -1.230007 -0.130463]
6->9:,1.823044,0.04,-,-,-,-,[0.65124  0.684761 0.072583]
7->9:,0.933165,0.0,-,-,-,-,[-0.001691 -0.002134  0.029772]
8->9:,0.299404,0.0,-,-,-,-,[ 0.004648  0.006028 -0.114589]
1->10:,3.73713,0.0,-,-,-,-,[ 0.000267  0.000373 -0.009061]
2->10:,3.529781,0.0,-,-,-,-,[ 0.00029  -0.000342  0.000159]
3->10:,3.30238,0.0,-,-,-,-,[ 1.023e-03 -1.066e-03 -1.600e-05]
4->10:,2.719463,0.0,-,-,-,-,[-1.17e-04  9.40e-05  5.40e-05]
5->10:,2.288852,0.0,-,-,-,-,[ 0.001721  0.002195 -0.039557]
6->10:,1.924626,0.0,-,-,-,-,[-0.001454 -0.001857  0.033347]
7->10:,1.034748,0.102,-,-,-,-,[1.377071 1.450309 0.153743]
8->10:,0.400986,0.0,-,-,-,-,[-0.003502 -0.003583 -0.000466]
9->10:,0.101582,0.0,-,-,-,-,[-0.007836 -0.008219 -0.00095 ]
